Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
"Museums, Libraries and Archives Council (MLA)",www.mla.gov.uk,,,2012
The Sports Grounds Safety Authority,http://www.safetyatsportsgrounds.org.uk/,,,2012
Arts Council England (ACE),www.artscouncil.org.uk,,,2012
Cultural Property Advice,www.culturalpropertyadvice.gov.uk,,,2012
"Department for Culture, Media and Sport (DCMS)",www.culture.gov.uk,,,2012
Digital Television,www.digitaltelevision.gov.uk,,,2012
Government Art Collection,www.gac.culture.gov.uk,,,2012
Heritage Lottery Fund,www.hlf.org.uk,,,2012
Inspiring Learning for All,www.inspiringlearning.gov.uk,,,2012
"Leveson Inquiry into the Culture, Practices and Ethics of the Press",www.levesoninquiry.org.uk/,,,2012
National Historic Ships,www.nationalhistoricships.org.uk,,,2012
National Lottery Commission,www.natlotcomm.gov.uk,,,2012
Olympic Lottery Distributor,www.olympiclotterydistributor.org.uk/docs/home.php,,,2012
People's Network (LIC),www.peoplesnetwork.gov.uk,,,2012
Public Lending Right and Public Lending Right Advisory Committee (PLR),www.plr.uk.com,,,2012
Sport England,www.sportengland.org,,,2012
UK Anti-Doping,www.ukad.org.uk,,,2012
UK Film Council,www.ukfilmcouncil.org.uk,,,2012
UK Sport,www.uksport.gov.uk,,,2012
Visit Britain ,www.visitbritain.org,,,2012
Children and Family Court Advisory and Support Service (CAFCASS),www.cafcass.gov.uk,,,2012
Children's Commissioner,www.childrenscommissioner.gov.uk,,,2012
Children's Workforce Development Council,www.cwdcouncil.org.uk,,,2012
International Review of Curriculum and Assessment Frameworks (INCA),www.inca.org.uk,,,2012
National College for Leadership of Schools and Children's Services,www.nationalcollege.org.uk,,,2012
Partnerships for Schools ,www.partnershipsforschools.org.uk,,,2012
ReferNet - the European network of reference and expertise in Vocational Education and Training,www.refernet.org.uk,,,2012
School Food Trust,www.schoolfoodtrust.org.uk,,,2012
Training and Development Agency (TDA),www.tda.gov.uk,,,2012
Get into teaching,www.tda.gov.uk/get-into-teaching,,,2012
Young People's Learning Agency,www.ypla.gov.uk,,,2012
UK Greenhouse Gas Inventory National System,ghgi.decc.gov.uk,,,2012
Electronics Leadership Council,www.electronicsleadershipcouncil.org,,,2012
Coal Authority Ground Stability Reports,www.groundstability.com,,,2012
Department of Energy and Climage Change,www.decc.gov.uk,,,2012
Enhanced Capital Allowance Scheme,www.eca.gov.uk,,,2012
Enhanced Capital Allowance Scheme (ECA),www.eca.gov.uk/etl,,,2012
Nuclear Decommissioning Authority,www.nda.gov.uk,,,2012
Offshore SEA (DECC),www.offshore-sea.org.uk,,,2012
Committee on Climate Change,www.theccc.org.uk,,,2012
Drinking Water Inspectorate,dwi.defra.gov.uk,,,2012
Gangmasters Licensing Authority,gla.defra.gov.uk,,,2012
Bee Base (https://secure.fera.defra.gov.uk/beebase/),secure.fera.defra.gov.uk/beebase/,,,2012
InterMet - Weather Data to Inform Crop Management Decisions,intermet.csl.gov.uk,,,2012
Joint Nature Conservation Committee,jncc.defra.gov.uk,,,2012
MAGIC ,magic.defra.gov.uk,,,2012
National Atmospheric Emissions Inventory ,naei.defra.gov.uk,,,2012
National Collection of Plant Pathogenic Bacteria,ncppb.com,,,2012
Nematodes,nematodesuk.fera.defra.gov.uk,,,2012
Northumberland National Park Planning,planning.nnpa.org.uk/,,,2012
Waste Directory,wastedirectory.org.uk,,,2012
Agricultural Waste Plastics,www.agwasteplastics.org.uk,,,2012
Agriculture and Horticulture Development Board ,www.ahdb.org.uk,,,2012
Bio Mass Energy Centre,"www.biomassenergycentre.org.uk/portal/page?_pageid=73,1&_dad=portal&_schema=PORTAL",,,2012
Consumer Council for Water,www.ccwater.org.uk,,,2012
"Centre for Environment, Fisheries & Aquaculture Science (DEFRA)",www.cefas.defra.gov.uk,,,2012
"Defra - Department for Environment, Food and Rural Affairs",www.defra.gov.uk,,,2012
Environment Agency,www.environment-agency.gov.uk,,,2012
Farm Animal Welfare Council (FAWC),www.fawc.org.uk,,,2012
Fine Resolution Atmospheric Multi-pollutant Exchange (FRAME),www.frame.ceh.ac.uk,,,2012
Greenhouse Gas Inventory National System,www.ghgi.org.uk,,,2012
Inland Waterways Advisory Council,www.iwac.org.uk,,,2012
LANDshapes,www.landshapes.org,,,2012
Living River,www.livingriver.org.uk,,,2012
Marine Management Organisation,www.marinemanagement.org.uk,,,2012
National Forest Company,www.nationalforest.org,,,2012
National Parks,www.nationalparks.gov.uk,,,2012
National Trails,www.nationaltrail.co.uk,,,2012
Natural England,www.naturalengland.org.uk,,,2012
Netregs,www.netregs.gov.uk,,,2012
Pesticides Safety Directorate,www.pesticides.gov.uk,,,2012
Recycle Now,www.recyclenow.com,,,2012
Sustainable Development Commission,www.sd-commission.org.uk,,,2012
UK Climate Impacts Programme (UKCIP) ,www.ukcip.org.uk,,,2012
Veterinary Medicines Directorate,www.vmd.defra.gov.uk,,,2012
VPC,www.vmd.defra.gov.uk/vpc,,,2012
VRC,www.vmd.defra.gov.uk/vrc,,,2012
Waste and Resources Action Programme (WRAP),www.wrap.org.uk,,,2012
Care in Practice : Revised Legal Framework for Looked After Children,childrenact1989regstraining.walkgrove.co.uk,,,2012
The Learner Panel,learnerpanel.co.uk,,,2012
Adoption Research Initiative ,www.adoptionresearchinitiative.org.uk,,,2012
Department for Education ,www.education.gov.uk,,,2012
GovernorLine,www.governorline.info,,,2012
Together for Disabled Children,www.togetherfdc.org,,,2012
Commonwealth Scholarship Commission in the UK,cscuk.dfid.gov.uk,,,2012
Department for International Development,www.dfid.gov.uk,,,2012
Stabilisation Unit,www.stabilisationunit.gov.uk,,,2012
Air Accident Investigation Branch (AAIB),www.aaib.gov.uk,,,2012
Department for Transport,www.dft.gov.uk,,,2012
Directly Operated Railways,www.directlyoperatedrailways.co.uk,,,2012
Highways Agency,www.highways.gov.uk,,,2012
High Speed 2,www.hs2.org.uk,,,2012
Marine Accident Investigation Branch (MAIB),www.maib.gov.uk,,,2012
Passenger Focus (operating name for the Rail Passengers Council),www.passengerfocus.org.uk,,,2012
Rail Accident Investigation Branch (RAIB),www.raib.gov.uk,,,2012
Traffic England,www.trafficengland.com,,,2012
Transport Direct - Britain's free online journey planner,www.transportdirect.info ,,,2012
Health Protection Agency eHealth,ehealthlearning.org.uk,,,2012
DH: Department of Health,http://www.dh.gov.uk,,,2012
Shape,shape.dh.gov.uk,,,2012
UK Atmospheric Dispersion Modelling Liaison Committee (ADMLC),www.admlc.org.uk,,,2012
Appointments Commission,www.appointments.org.uk,,,2012
Administration of Radioactive Substances Advisory Committee,www.arsac.org.uk,,,2012
British Mosquitoes ,www.britishmosquitoes.org.uk,,,2012
Tick Recording Scheme,www.britishticks.org.uk,,,2012
 Co-operation and Competition Panel,www.ccpanel.org.uk,,,2012
Council for Healthcare Regulatory Excellence,www.chre.org.uk,,,2012
Committee on Medical Aspects of Radiation in the Environment (www.comare.org.uk),www.comare.org.uk,,,2012
Committee on the Medical Effects of Air Pollutants (COMEAP) ,www.comeap.org.uk,,,2012
Community Health Partnerships,www.communityhealthpartnerships.co.uk,,,2012
Care Quality Commission,www.cqc.org.uk,,,2012
Clinical Trials Toolkit,www.ct-toolkit.ac.uk,,,2012
East of England Research and Development Sub Unit,www.east-of-england-rdsu.org.uk,,,2012
European Health Insurance Card,www.ehic.org.uk/Internet/home.do,,,2012
E.coli O157 Independent Investigation,www.griffininvestigation.org.uk,,,2012
General Social Care Council (GSCC),www.gscc.org.uk,,,2012
Health for Work Adviceline for Small Businesses,www.health4work.nhs.uk,,,2012
Health Protection Agency TV,www.healthprotectionagency.tv,,,2012
Human Fertilisation & Embryology Authority (HFEA),www.hfea.gov.uk,,,2012
Human Genetics Commission (HGC),www.hgc.gov.uk,,,2012
Health Protection Agency (HPA),www.hpa.org.uk,,,2012
Health Protection Agency Microbiological Diagnostics Assessment Service,www.hpa-midas.org.uk,,,2012
Health Protection Agency North West,www.hpa-nw.org.uk,,,2012
Health Protection Agency Radiation Protection Services,www.hpa-radiationservices.org.uk,,,2012
Health Protection Agency - National Standard Methods,www.hpa-standardmethods.org.uk,,,2012
Health Professions Council,www.hpc-uk.org,,,2012
Human Tissue Authority (HTA),www.hta.gov.uk,,,2012
"Committee on Carcinogenicity of Chemicals in Food, Consumer Products and the Environment",www.iacoc.org.uk,,,2012
"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment (COM)  ",www.iacom.org.uk,,,2012
Integrated Modules for Bioassay Analysis (IMBA),www.imbaprofessional.com,,,2012
Independent Reconfiguration Panel (IRP),www.irpanel.org.uk,,,2012
MHRA - Medicines and Healthcare products Regulatory Agency,www.mhra.gov.uk,,,2012
Monitor - Independent Regulator of NHS Foundation Trusts,www.monitor-nhsft.gov.uk,,,2012
Mobile Telecommunications and Health Research Programme (MTHR),www.mthr.org.uk,,,2012
NHS Identity,www.nhsidentity.nhs.uk,,,2012
NHS Plus,www.nhsplus.nhs.uk,,,2012
National Biological Standards Board (NBSB),www.nibsc.ac.uk,,,2012
British Pharmacopoeia Commission (BCP),www.pharmacopoeia.co.uk,,,2012
British Pharmacopoeia (BP),www.pharmacopoeia.gov.uk,,,2012
NHS Photo Library,www.photolibrary.nhs.uk,,,2012
KU World - The Risk Game,www.riskit.org.uk,,,2012
Scientific Advisory Committee on Nutrition,www.sacn.gov.uk,,,2012
Talk to Frank,www.talktofrank.com,,,2012
UKradon,www.ukradon.org,,,2012
Child Maintenance and Enforcement Commission,www.childmaintenance.org,,,2012
Child Maintenance Options,www.cmoptions.org,,,2012
Department for Work and Pensions ,www.dwp.gov.uk,,,2012
Health and Safety Executive (HSE),www.hse.gov.uk,,,2012
Independent Case Examiner,www.ind-case-exam.org.uk,,,2012
Pensions Ombudsman (PO) ,www.pensions-ombudsman.org.uk,,,2012
Pension Protection fund Ombudsman,www.ppfo.org.uk,,,2012
The Pensions Regulator (TPR) **SEE TNA NOTES**,www.thepensionsregulator.gov.uk,,,2012
FCO Services,http://www.fcoservices.gov.uk,,,2012
British Council,www.britishcouncil.org,,,2012
National Technical Authority for Information Assurance (CESG),www.cesg.gov.uk,,,2012
Foreign & Commonwealth Office (FCO),www.fco.gov.uk,,,2012
Great Britain-China Centre,www.gbcc.org.uk,,,2012
GovCertUK,www.govcertuk.gov.uk,,,2012
Marshall Aid Commemoration Commission,www.marshallscholarship.org,,,2012
Westminster Foundation for Democracy,www.wfd.org,,,2012
Wilton Park ,www.wiltonpark.org.uk,,,2012
Forestry Commission,www.forestry.gov.uk,,,2012
Food Standards Agency,www.food.gov.uk,,,2012
Government Actuary's Department,www.gad.gov.uk,,,2012
Businesslink,http://www.businesslink.gov.uk,,,2012
Adjudicators Office,www.adjudicatorsoffice.gov.uk,,,2012
HM Revenue & Customs,www.hmrc.gov.uk,,,2012
UK Trade info,www.uktradeinfo.com,,,2012
Valuation Office Agency,www.voa.gov.uk,,,2012
Buying Solutions: The National Procurement Partner for UK Public Services,http://www.buyingsolutions.gov.uk,,,2012
Government Finance Profession,thegfp.treasury.gov.uk,,,2012
FSA Graduate Careers,www.fsagraduates.com,,,2012
HM Treasury,www.hm-treasury.gov.uk,,,2012
UK Financial Investments Ltd,www.ukfi.gov.uk,,,2012
Citizen Focus and Neighbourhood Policing,cfnp.npia.police.uk,,,2012
Life in the UK Test,http://www.lifeintheuktest.gov.uk/,,,2012
Independent Safeguarding Authority ,isa.homeoffice.gov.uk,,,2012
Life in the UK Test,lifeintheuktest.ukba.homeoffice.gov.uk,,,2012
Police Recruitment ,policerecruitment.homeoffice.gov.uk,,,2012
Action Fraud,www.actionfraud.org.uk,,,2012
Border and Immigration Agency,www.bia.homeoffice.gov.uk,,,2012
Civil Nuclear Police Authority,www.cnpa.police.uk,,,2012
Centre for the Protection of National Infrastructure (CPNI),www.cpni.gov.uk,,,2012
Equality and Human Rights Commission,www.equalityhumanrights.com,,,2012
Forensic Science Service Ltd,www.forensic.gov.uk,,,2012
HM Inspectorates of Constabulary,www.hmic.gov.uk,,,2012
Home Office,www.homeoffice.gov.uk,,,2012
Independent Police Complaints Commission (IPCC),www.ipcc.gov.uk,,,2012
Investigatory Powers Tribunal,www.ipt-uk.com,,,2012
National Police Improvement Agency,www.npia.police.uk,,,2012
Office of the Immigration Services Commissioner (OISC),www.oisc.gov.uk,,,2012
National Counter Terrorism Security Office (NaCTSO),www.secureyourfertiliser.gov.uk,,,2012
SIA - Security Industry Authority,www.sia.homeoffice.gov.uk,,,2012
Serious Organised Crime Agency,www.soca.gov.uk,,,2012
Think U Know - (Child Safety Cnline Campaign),www.thewnc.org.uk,,,2012
Think U Know - (Child Safety Cnline Campaign),www.thinkuknow.co.uk,,,2012
UK Border Agency,www.ukba.homeoffice.gov.uk,,,2012
"Warning, Advice and Reporting Point (WARP)",www.warp.gov.uk,,,2012
HMNAO Astronomical Data Portal,astro.ukho.gov.uk,,,2012
Defence Consultations,defenceconsultations.org.uk,,,2012
Easy Tide,easytide.ukho.gov.uk/EasyTide,,,2012
Armed Forces Day,www.armedforcesday.org.uk,,,2012
Defence Blog Homepage,www.blogs.mod.uk,,,2012
Defence Contracts Online,www.contracts.mod.uk,,,2012
Defence Analytical Services and Advice,www.dasa.mod.uk,,,2012
Defence Image Database,www.defenceimagedatabase.mod.uk/fotoweb,,,2012
Defence News Imagery,www.defencenewsimagery.mod.uk,,,2012
DN Notice System,www.dnotice.org.uk,,,2012
Defence Support Group,www.dsg.mod.uk,,,2012
Defence Science and Technology Laboratory,www.dstl.gov.uk,,,2012
Disposal Services Authority,www.edisposals.com,,,2012
Future of Navigation,www.futureofnavigation.com,,,2012
Government Communications Headquarters (GCHQ),www.gchq.gov.uk,,,2012
Government Communications Headquarters (GCHQ) Careers,www.gchq-careers.co.uk,,,2012
Met Office,www.metoffice.gov.uk,,,2012
Met Office Hadley Centre,www.metoffice.gov/hadobs,,,2012
Ministry of Defence (MOD),www.mod.uk,,,2012
Queen's Harbour Master,www.qhm.mod.uk ,,,2012
Supporting BritainÕs Reservists and Employers,www.sabre.mod.uk,,,2012
Chief Scientific Advisor,www.science.mod.uk,,,2012
UK Hydrographic Office,www.ukho.gov.uk,,,2012
Veterans-UK Information Portal ,www.veterans-uk.info,,,2012
Secure Email,cjsm.justice.gov.uk,,,2012
Possession claims online,https://www.possessionclaim.gov.uk/pcol/,,,2012
Legal Services Commission Training,training.legalservices.gov.uk,,,2012
Academy for Justice Commissioning,virtual.nationalschool.gov.uk/AJC,,,2012
Boundary Commission for Wales,www.bcomm-wales.gov.uk,,,2012
Boundary Commission for England,www.boundarycommissionforengland.org.uk,,,2012
Edinburgh Gazette ,www.edinburgh-gazette.co.uk,,,2012
Judicial Studies Board (Magistrate and Legal Advisor Training),www.estudo.co.uk,,,2012
North Sea Camp Open Prison,www.hmprisonservice.gov.uk/worksforyou,,,2012
Information Commissioner's Office,www.ico.gov.uk,,,2012
Careers and Job Opportunities at the ICO,www.ico.jobs,,,2012
Judicial Committee of the Privy Council,www.jcpc.gov.uk,,,2012
Ministry of Justice,www.justice.gov.uk,,,2012
AJTC - Administrative Justice & Tribunals Council ,www.justice.gov.uk/ajtc/index.htm,,,2012
Legal Ombudsman,www.legalombudsman.org.uk,,,2012
Legal Services Commission,www.legalservices.gov.uk,,,2012
Legal Services Board,www.legalservicesboard.org.uk,,,2012
Legal Services Consumer Panel,www.legalservicesconsumerpanel.org.uk,,,2012
Official Legislation Website,www.legislation.gov.uk,,,2012
Money Claim online,www.moneyclaim.gov.uk,,,2012
The National Archives,www.nationalarchives.gov.uk,,,2012
Office of the Advocate General for Scotland,www.oag.gov.uk,,,2012
Official Documents,www.official-documents.gov.uk,,,2012
Prisons & Probation Ombudsman,www.ppo.gov.uk,,,2012
Supreme Court,www.supremecourt.gov.uk,,,2012
Northern Ireland Office,www.nio.gov.uk,,,2012
National School of Government,www.nationalschool.gov.uk,,,2012
National Savings and Investments,www.nsandi.com,,,2012
Electronic Public Register,epr.ofgem.gov.uk,,,2012
Ofgem Jobs,http://www.ofgemjobs.co.uk/,,,2012
Renewable Heat Incentive,https://rhi.ofgem.gov.uk/,,,2012
Office of Qualifications and Examinations Regulation,www.ofqual.gov.uk,,,2012
The Examinations Appeals Board ,www.theeab.org.uk,,,2012
"Office for Standards in Education, Children's Services and Skills",www.ofsted.gov.uk,,,2012
Office of Fair Trading,www.oft.gov.uk,,,2012
Consumer Credit Register,www2.crw.gov.uk/pr,,,2012
Water Services Regulation Authority,www.ofwat.gov.uk,,,2012
Office of Rail Regulation,www.rail-reg.gov.uk,,,2012
MI5 (The Security Service),www.mi5.gov.uk,,,2012
MI6 Officers,www.mi6officers.co.uk,,,2012
Money Advice Service,www.moneyadviceservice.org.uk,,,2012
The Permanent Committee on Geographical Names for British Official Use,www.pcgn.org.uk,,,2012
The Prince of Wales,www.princeofwales.gov.uk,,,2012
The Official Website of The British Monarchy,www.royal.gov.uk,,,2012
Biritsh Secret Intelligence Service (SIS),www.sis.gov.uk,,,2012
Prime Minister's Office ,www.number10.gov.uk,,,2012
Debt Management Office (DMO),www.dmo.gov.uk,,,2012
Royal Mint ,www.royalmint.com,,,2012
Serious Fraud Office,www.seeda.co.uk,,,2012
Scotland Office,www.scotlandoffice.gov.uk,,,2012
Neighbourhood Statistics,neighbourhood.statistics.gov.uk,,,2012
Office for National Statistics,www.ons.gov.uk,,,2012
Office for National Statistics Ð Information Management Vacancies,www.onspeoplecount.co.uk,,,2012
Office for National Statistics,www.statistics.gov.uk,,,2012
UK Statistics Authority,www.statisticsauthority.gov.uk,,,2012
UKTI - Doing Business in Asia,www.businessinasia.co.uk,,,2012
UK Creative Industries Marketing Toolkit,www.creative-industries.co.uk,,,2012
UK Trade and Investment Identity Site,www.identity.uktradeinvest.gov.uk,,,2012
London Press Service,www.londonpressservice.org.uk,,,2012
Tech City UK,www.techcityuk.com,,,2012
Technology World UK,www.technologyworld.uk.com,,,2012
UK Advanced Engineering,www.ukadvancedengineering.com,,,2012
UK Energy Excellence,www.ukenergyexcellence.com,,,2012
UK Trade & Investment,www.ukti.gov.uk,,,2012
UK Trade & Investment (UKTI) - Exporting for the South East of England,www.uktisoutheast.com,,,2012
Wales Office,www.walesoffice.gov.uk,,,2012
Financial Services Authority,www.fsa.gov.uk,,,2012
